iter	Passed	Remaining
0	2	218
1	4	199
2	5	190
3	7	177
4	11	225
5	14	223
6	16	218
7	18	213
8	20	209
9	22	205
10	25	208
11	27	203
12	29	198
13	31	193
14	33	188
15	35	185
16	37	181
17	40	185
18	42	181
19	44	177
20	46	173
21	48	170
22	49	166
23	51	163
24	55	167
25	57	163
26	59	160
27	61	157
28	62	154
29	64	151
30	66	148
31	70	149
32	72	146
33	74	144
34	76	141
35	77	138
36	79	135
37	81	133
38	85	133
39	87	130
40	88	127
41	89	123
42	91	121
43	93	118
44	94	116
45	97	113
46	100	113
47	102	110
48	104	108
49	105	105
50	107	103
51	109	101
52	111	98
53	114	97
54	116	94
55	117	92
56	119	90
57	121	87
58	123	85
59	126	84
60	133	85
61	136	83
62	140	82
63	143	80
64	146	78
65	148	76
66	150	73
67	152	71
68	154	69
69	157	67
70	160	65
71	162	63
72	164	60
73	166	58
74	168	56
75	171	54
76	174	52
77	176	49
78	178	47
79	180	45
80	182	42
81	184	40
82	186	38
83	189	36
84	191	33
85	193	31
86	195	29
87	196	26
88	198	24
89	200	22
90	204	20
91	205	17
92	208	15
93	209	13
94	211	11
95	213	8
96	215	6
97	218	4
98	220	2
99	222	0
